time_value,reinfect,cases,perc_reinfect
2021-08-06,28,1046,2.676864245
2021-08-07,10,644,1.552795031
2021-08-08,16,674,2.37388724
2021-08-09,37,1435,2.578397213
2021-08-10,36,1453,2.477632485
2021-08-11,34,1439,2.362751911
2021-08-12,30,1343,2.233804914
2021-08-13,35,1346,2.600297177
2021-08-14,12,770,1.558441558
2021-08-15,13,872,1.490825688
2021-08-16,48,1916,2.505219207
2021-08-17,33,1631,2.02329859
2021-08-18,40,1699,2.354326074
2021-08-19,44,1765,2.492917847
2021-08-20,35,1594,2.195734003
2021-08-21,14,957,1.462904911
2021-08-22,22,929,2.368137783
2021-08-23,50,2116,2.36294896
2021-08-24,33,1856,1.778017241
2021-08-25,39,1823,2.139330773
2021-08-26,39,1610,2.422360248
2021-08-27,35,1562,2.240717029
2021-08-28,20,1006,1.988071571
2021-08-29,24,964,2.489626556
2021-08-30,50,2293,2.180549498
2021-08-31,54,2181,2.475928473
2021-09-01,47,2101,2.237029986
2021-09-02,54,2008,2.689243028
2021-09-03,45,1839,2.446982055
2021-09-04,25,1110,2.252252252
2021-09-05,20,1023,1.955034213
2021-09-06,20,834,2.398081535
2021-09-07,84,3027,2.775024777
2021-09-08,50,2449,2.041649653
2021-09-09,51,2259,2.257636122
2021-09-10,44,2157,2.03987019
2021-09-11,25,1092,2.289377289
2021-09-12,11,1240,0.887096774
2021-09-13,65,2907,2.235982112
2021-09-14,53,2711,1.954998156
2021-09-15,59,2570,2.295719844
2021-09-16,54,2700,2
2021-09-17,46,2414,1.905550953
2021-09-18,23,1184,1.942567568
2021-09-19,21,1262,1.664025357
2021-09-20,73,3287,2.220870094
2021-09-21,56,2903,1.929038925
2021-09-22,51,3030,1.683168317
2021-09-23,59,2760,2.137681159
2021-09-24,46,2549,1.804629266
2021-09-25,25,1345,1.858736059
2021-09-26,27,1427,1.892081289
2021-09-27,81,4104,1.973684211
2021-09-28,55,3547,1.550606146
2021-09-29,73,3538,2.063312606
2021-09-30,57,3367,1.692901693
2021-10-01,37,3137,1.179470832
2021-10-02,22,1588,1.385390428
2021-10-03,32,1545,2.071197411
2021-10-04,76,4186,1.815575729
2021-10-05,55,3430,1.603498542
2021-10-06,69,3445,2.002902758
2021-10-07,52,3238,1.605929586
2021-10-08,60,3001,1.999333555
2021-10-09,26,1572,1.65394402
2021-10-10,19,1395,1.362007168
2021-10-11,56,3766,1.486988848
2021-10-12,65,3118,2.08466966
2021-10-13,57,2823,2.019128587
2021-10-14,50,2564,1.950078003
2021-10-15,41,2240,1.830357143
2021-10-16,25,1215,2.057613169
2021-10-17,16,1166,1.372212693
2021-10-18,63,3168,1.988636364
2021-10-19,49,2693,1.81953212
2021-10-20,36,2459,1.46400976
2021-10-21,51,2423,2.104828725
2021-10-22,48,2292,2.094240838
2021-10-23,18,1279,1.407349492
2021-10-24,28,1382,2.026049204
2021-10-25,48,3646,1.316511245
2021-10-26,43,3069,1.401107853
2021-10-27,59,3154,1.870640457
2021-10-28,47,3057,1.537455021
2021-10-29,51,2874,1.774530271
2021-10-30,23,1512,1.521164021
2021-10-31,22,1633,1.347213717
2021-11-01,73,4354,1.676619201
2021-11-02,69,3955,1.744627054
2021-11-03,85,4048,2.099802372
2021-11-04,70,4241,1.650554115
2021-11-05,97,4108,2.361246349
2021-11-06,41,2095,1.957040573
2021-11-07,32,2150,1.488372093
2021-11-08,130,5975,2.175732218
2021-11-09,108,5129,2.105673621
2021-11-10,88,4893,1.798487635
2021-11-11,81,4258,1.90230155
2021-11-12,90,4348,2.069917203
2021-11-13,32,2222,1.440144014
2021-11-14,39,2218,1.758340848
2021-11-15,102,5987,1.703691331
2021-11-16,111,5314,2.08882198
2021-11-17,105,5266,1.993923281
2021-11-18,88,4584,1.919720768
2021-11-19,95,4455,2.132435466
2021-11-20,39,2341,1.66595472
2021-11-21,39,2221,1.755965781
2021-11-22,108,5700,1.894736842
2021-11-23,117,5108,2.290524667
2021-11-24,102,4795,2.12721585
2021-11-25,13,780,1.666666667
2021-11-26,81,3722,2.176249328
2021-11-27,53,3068,1.727509778
2021-11-28,48,2836,1.692524683
2021-11-29,156,7125,2.189473684
2021-11-30,139,6198,2.242658922
2021-12-01,130,5705,2.278702892
2021-12-02,101,4971,2.031784349
2021-12-03,107,4529,2.36255244
2021-12-04,52,2263,2.297834733
2021-12-05,48,2033,2.361042794
2021-12-06,116,4916,2.359641985
2021-12-07,122,4328,2.818853974
2021-12-08,111,4189,2.649797088
2021-12-09,83,3437,2.414896712
2021-12-10,74,2710,2.730627306
2021-12-11,35,1520,2.302631579
2021-12-12,43,1796,2.394209354
2021-12-13,120,4184,2.868068834
2021-12-14,145,3677,3.943432146
2021-12-15,177,3503,5.052811876
2021-12-16,137,3099,4.420780897
2021-12-17,133,3003,4.428904429
2021-12-18,71,1728,4.108796296
2021-12-19,90,1773,5.076142132
2021-12-20,259,4455,5.81369248
2021-12-21,325,4293,7.570463545
2021-12-22,436,4951,8.806301757
2021-12-23,479,5075,9.438423645
2021-12-24,175,1901,9.20568122
2021-12-25,66,680,9.705882353
2021-12-26,308,3553,8.66873065
2021-12-27,818,8556,9.560542309
2021-12-28,1064,10068,10.56813667
2021-12-29,1193,10988,10.85729887
2021-12-30,1130,10647,10.61331831
2021-12-31,510,4988,10.22453889
2022-01-01,223,2114,10.5487228
2022-01-02,547,5595,9.776586238
2022-01-03,1793,15928,11.25690608
2022-01-04,2264,17573,12.88340067
2022-01-05,2142,16672,12.84788868
2022-01-06,1935,15625,12.384
2022-01-07,1562,13160,11.86930091
2022-01-08,757,6971,10.85927414
2022-01-09,699,6206,11.26329359
2022-01-10,2209,18236,12.11340206
2022-01-11,2342,18111,12.93136768
2022-01-12,1901,16480,11.53519417
2022-01-13,1616,15025,10.75540765
2022-01-14,1255,11287,11.11898644
2022-01-15,591,5951,9.931104016
2022-01-16,581,5673,10.2414948
2022-01-17,1588,14163,11.21231378
2022-01-18,1742,13877,12.55314549
2022-01-19,1855,12767,14.52964675
2022-01-20,1283,10354,12.39134634
2022-01-21,941,8712,10.80119376
2022-01-22,402,3954,10.16691958
2022-01-23,368,3529,10.42788325
2022-01-24,1081,9470,11.41499472
2022-01-25,1123,8166,13.75214303
2022-01-26,805,6916,11.63967611
2022-01-27,771,6117,12.60421775
2022-01-28,596,5046,11.81133571
2022-01-29,236,2369,9.962009287
2022-01-30,233,2089,11.15366204
2022-01-31,737,5770,12.7729636
2022-02-01,624,4651,13.41646958
2022-02-02,504,4035,12.49070632
2022-02-03,436,3300,13.21212121
2022-02-04,354,2912,12.15659341
2022-02-05,164,1388,11.81556196
2022-02-06,140,1278,10.95461659
2022-02-07,399,3491,11.42938986
2022-02-08,420,2932,14.32469304
2022-02-09,317,2530,12.52964427
2022-02-10,300,2062,14.54898157
2022-02-11,212,1780,11.91011236
2022-02-12,96,879,10.92150171
2022-02-13,94,841,11.17717004
2022-02-14,238,1960,12.14285714
2022-02-15,220,1572,13.99491094
2022-02-16,177,1500,11.8
2022-02-17,150,1250,12
2022-02-18,131,1000,13.1
2022-02-19,57,511,11.15459883
2022-02-20,56,474,11.81434599
2022-02-21,95,1008,9.424603175
2022-02-22,40,508,7.874015748
2022-02-23,9,80,11.25
